Total number of contigs: 12080
Maximum contig length: 4059
Mean contig length: 182.46680463576158
Total length of genome assembly: 2204199
Mean depth of coverage: 37.25694452342728
N50: 296
# Contig length	Number of Contigs in this category
0	5827
100	3990
200	652
300	443
400	296
500	210
600	153
700	107
800	83
900	61
1000	45
1100	37
1200	29
1300	24
1400	22
1500	27
1600	13
1700	10
1800	7
1900	8
2000	6
2100	5
2200	4
2300	3
2400	3
2500	3
2600	1
2700	4
2800	3
2900	0
3000	0
3100	1
3200	0
3300	0
3400	0
3500	0
3600	1
3700	0
3800	1
3900	0
4000	1
