Total number of contigs: 1226
Maximum contig length: 10467
Mean contig length: 910.8662316476345
Total length of genome assembly: 1116722
Mean depth of coverage: 62.27950573409466
N50: 1803
# Contig length	Number of Contigs in this category
0	59
100	250
200	165
300	95
400	82
500	51
600	35
700	38
800	39
900	35
1000	25
1100	27
1200	28
1300	35
1400	24
1500	18
1600	16
1700	17
1800	18
1900	18
2000	10
2100	18
2200	6
2300	10
2400	7
2500	11
2600	5
2700	5
2800	7
2900	7
3000	4
3100	6
3200	3
3300	5
3400	5
3500	2
3600	4
3700	1
3800	1
3900	3
4000	2
4100	1
4200	1
4300	4
4400	4
4500	2
4600	0
4700	2
4800	1
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	1
