Total number of contigs: 3198
Maximum contig length: 5032
Mean contig length: 503.6272670419012
Total length of genome assembly: 1610600
Mean depth of coverage: 41.479588847404514
N50: 1086
# Contig length	Number of Contigs in this category
0	852
100	593
200	375
300	254
400	195
500	115
600	107
700	92
800	74
900	63
1000	45
1100	60
1200	49
1300	44
1400	35
1500	26
1600	29
1700	23
1800	16
1900	29
2000	7
2100	14
2200	11
2300	10
2400	5
2500	14
2600	5
2700	7
2800	5
2900	4
3000	5
3100	3
3200	3
3300	3
3400	5
3500	1
3600	3
3700	1
3800	3
3900	3
4000	1
4100	0
4200	0
4300	3
4400	2
4500	1
4600	1
4700	1
4800	0
4900	0
5000	1
